model,num_second_level_models,table_size,train_workload,test_workload,model_size,build_time,test_workload_time,num_last_mile_search
look_up_table_linear_model,50,100,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,176,97.1669,22.3193,15262534
look_up_table_linear_model,50,200,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,176,97.1294,20.0692,10800829
look_up_table_linear_model,50,300,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,176,98.0323,21.4748,8818283
linear_model,100,NA,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,112,50.2131,20.9722,200000000
weighted_linear_model,100,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,112,52.8462,26.3452,123442225
look_up_table_linear_model,100,100,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,176,111.516,21.6513,15262534
look_up_table_linear_model,100,200,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,176,111.643,20.8909,10800829
look_up_table_linear_model,100,300,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,176,112.417,20.3013,8818283
linear_model,500,NA,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,112,162.306,20.8747,200000000
weighted_linear_model,500,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,112,180.486,32.8063,123442225
look_up_table_linear_model,500,100,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,176,227.2,22.1908,15262534
look_up_table_linear_model,500,200,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,176,227.867,20.485,10800829
look_up_table_linear_model,500,300,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,176,228.063,21.494,8818283
linear_model,1000,NA,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,112,303.441,21.0422,200000000
weighted_linear_model,1000,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,112,321.103,25.4692,123442225
look_up_table_linear_model,1000,100,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,176,374.821,22.3136,15262534
look_up_table_linear_model,1000,200,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,176,373.06,20.4156,10800829
look_up_table_linear_model,1000,300,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,176,374.803,20.9375,8818283
linear_model,10,NA,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,112,24.8689,13.3125,200000000
weighted_linear_model,10,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,112,26.4365,12.4371,85704555
look_up_table_linear_model,10,100,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,176,81.2088,9.48096,2005207
look_up_table_linear_model,10,200,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,176,81.1779,9.12142,1077240
look_up_table_linear_model,10,300,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,176,82.7898,10.663,748531
linear_model,50,NA,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,112,36.5483,13.8781,200000000
weighted_linear_model,50,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,112,41.1752,12.6486,85704555
look_up_table_linear_model,50,100,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,176,93.8166,10.2331,2005207
look_up_table_linear_model,50,200,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,176,93.5758,9.65317,1077240
look_up_table_linear_model,50,300,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,176,92.8837,9.96871,748531
linear_model,100,NA,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,112,49.9445,13.3453,200000000
weighted_linear_model,100,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,112,55.7423,12.3675,85704555
look_up_table_linear_model,100,100,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,176,107.569,9.29664,2005207
look_up_table_linear_model,100,200,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,176,108.167,9.71469,1077240
look_up_table_linear_model,100,300,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,176,109.449,11.0112,748531
linear_model,500,NA,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,112,163.272,13.4388,200000000
weighted_linear_model,500,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,112,178.161,14.1036,85704555
look_up_table_linear_model,500,100,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,176,234.63,10.7923,2005207
look_up_table_linear_model,500,200,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,176,276.24,10.7053,1077240
look_up_table_linear_model,500,300,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,176,303.433,12.6518,748531
linear_model,1000,NA,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,112,426.856,17.5398,200000000
weighted_linear_model,1000,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,112,460.634,16.2879,85704555
look_up_table_linear_model,1000,100,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,176,532.5,13.0427,2005207
look_up_table_linear_model,1000,200,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,176,554.205,12.2834,1077240
look_up_table_linear_model,1000,300,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,176,8494.83,11.1956,748531
