model,num_second_level_models,table_size,train_workload,test_workload,model_size,build_time,test_workload_time
look_up_table_linear_model,2000,10,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,168,698.595,122.173
linear_model,10,NA,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.3,104,26.0581,48.5239
weighted_linear_model,10,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.3,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.3,104,33.8653,60.3107
look_up_table_linear_model,10,3,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.3,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.3,168,93.3786,56.8762
look_up_table_linear_model,10,5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.3,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.3,168,94.9527,57.7709
look_up_table_linear_model,10,10,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.3,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.3,168,95.3732,57.8683
linear_model,50,NA,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.3,104,36.9882,47.5226
weighted_linear_model,50,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.3,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.3,104,38.7016,50.3712
look_up_table_linear_model,50,3,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.3,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.3,168,104.071,57.6725
look_up_table_linear_model,50,5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.3,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.3,168,103.751,57.9895
look_up_table_linear_model,50,10,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.3,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.3,168,101.893,57.9826
linear_model,100,NA,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.3,104,51.6304,47.1843
weighted_linear_model,100,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.3,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.3,104,54.5216,49.0588
look_up_table_linear_model,100,3,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.3,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.3,168,116.571,57.7674
look_up_table_linear_model,100,5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.3,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.3,168,118.021,58.1651
