model,num_second_level_models,table_size,train_workload,test_workload,model_size,build_time,test_workload_time,num_last_mile_search
linear_model,100,NA,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,112,5.68951,79.8049,199935517
weighted_linear_model,100,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,112,10.3897,89.5554,169506294
look_up_table_linear_model,100,1000,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,176,20.4387,76.8427,79543546
look_up_table_linear_model,100,10000,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,176,23.9628,66.3628,57707824
linear_model,1000,NA,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,112,5.39672,71.6236,199975936
weighted_linear_model,1000,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,112,9.67131,75.1336,167359844
look_up_table_linear_model,1000,1000,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,176,21.4672,73.1928,79537585
look_up_table_linear_model,1000,10000,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,176,22.7884,63.2078,57703576
linear_model,10000,NA,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,112,5.13055,46.846,196956994
weighted_linear_model,10000,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,112,9.55183,51.1799,147046284
look_up_table_linear_model,10000,1000,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,176,20.048,49.6018,78428837
look_up_table_linear_model,10000,10000,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,176,20.31,44.7459,56927087
linear_model,100000,NA,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,112,5.1809,37.3186,183096976
weighted_linear_model,100000,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,112,9.18621,32.6329,111384347
look_up_table_linear_model,100000,1000,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,176,20.5234,43.0502,71191589
look_up_table_linear_model,100000,10000,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,176,20.7452,41.4473,51750229
linear_model,1000000,NA,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,112,5.05817,40.5859,185790763
weighted_linear_model,1000000,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,112,9.1476,22.9193,67473410
look_up_table_linear_model,1000000,1000,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,176,25.542,47.2127,72201804
look_up_table_linear_model,1000000,10000,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,176,21.6205,44.3918,52591033
linear_model,100,NA,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,112,5.64813,20.5495,199982615
weighted_linear_model,100,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,112,9.65542,19.9057,108655622
look_up_table_linear_model,100,1000,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,176,22.9843,11.6737,5744579
look_up_table_linear_model,100,10000,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,176,20.9654,11.7118,1972521
linear_model,1000,NA,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,112,5.73235,19.0078,199998660
weighted_linear_model,1000,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,112,10.5126,18.1957,107516735
look_up_table_linear_model,1000,1000,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,176,19.9509,12.1049,5744444
look_up_table_linear_model,1000,10000,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,176,22.7504,10.4654,1972808
linear_model,10000,NA,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,112,5.08235,15.4126,198747999
weighted_linear_model,10000,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,112,9.44359,12.3579,51185997
look_up_table_linear_model,10000,1000,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,176,23.7734,10.4979,5649156
look_up_table_linear_model,10000,10000,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,176,21.6779,10.6015,1939561
linear_model,100000,NA,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,112,5.24761,14.1509,193836250
weighted_linear_model,100000,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,112,9.35679,9.64764,41770262
look_up_table_linear_model,100000,1000,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,176,21.2675,8.81439,5086184
look_up_table_linear_model,100000,10000,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,176,23.99,10.4535,1726618
linear_model,1000000,NA,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,112,5.68997,15.2314,194545693
weighted_linear_model,1000000,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,112,9.28505,8.20311,24063106
look_up_table_linear_model,1000000,1000,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,176,23.5446,9.58328,5161637
look_up_table_linear_model,1000000,10000,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,176,21.847,10.5736,1770364
linear_model,100,NA,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,112,5.30296,13.1882,199997507
weighted_linear_model,100,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,112,9.60408,8.42624,73402208
look_up_table_linear_model,100,1000,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,176,18.4524,6.46528,354531
look_up_table_linear_model,100,10000,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,176,16.2038,5.75916,50061
linear_model,1000,NA,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,112,5.75905,13.166,199999955
weighted_linear_model,1000,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,112,11.2483,8.91716,73091958
look_up_table_linear_model,1000,1000,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,176,25.4221,10.2165,354546
look_up_table_linear_model,1000,10000,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,176,25.6106,9.78851,50055
linear_model,10000,NA,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,112,5.74343,11.704,199665605
weighted_linear_model,10000,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,112,22.5074,7.06591,22575267
look_up_table_linear_model,10000,1000,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,176,28.5571,10.8498,348447
look_up_table_linear_model,10000,10000,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,176,30.7211,10.0375,49249
linear_model,100000,NA,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,112,5.67358,11.4268,198179841
weighted_linear_model,100000,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,112,9.62771,5.5254,16180487
look_up_table_linear_model,100000,1000,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,176,21.3817,5.70033,314879
look_up_table_linear_model,100000,10000,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,176,20.9152,6.91136,43402
linear_model,1000000,NA,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,112,6.17279,12.9776,198251786
